Netlist

Exported from Main Schematic.sch at 5/1/15 15:12

EAGLE Version 7.2.0 Copyright (c) 1988-2014 CadSoft

Net                 Part                Pad      Pin        Sheet

+5V                 5VBOOST             1        VOUT_2     1
                    5VBOOST             15       VOUT_3     1
                    U7                  E14      VSSA_9     1
                    U7                  E4       VSSA_REF   1
                    U7                  E5       VSS_4      1
                    U7                  E6       VSS_5      1
                    U7                  E7       VSS_6      1
                    U7                  E8       VSS_7      1
                    U7                  E9       VSS_8      1
                    U7                  F10      VSS_8      1
                    U7                  F11      VSSA_10    1
                    U7                  F12      VSSA_11    1
                    U7                  F5       VSS_9      1
                    U7                  F6       VSS_10     1
                    U7                  F7       VSS_11     1
                    U7                  F8       VSS_12     1
                    U7                  F9       VSS_13     1
                    U7                  G10      VSS_9      1
                    U7                  G14      VSSA_12    1
                    U7                  G3       VSSA_6     1
                    U7                  G5       VSS_14     1
                    U7                  G6       VSS_15     1
                    U7                  G7       VSS_16     1
                    U7                  G8       VSS_17     1
                    U7                  G9       VSS_18     1
                    U7                  H1       VSSA_7     1
                    U7                  H10      VSS_10     1
                    U7                  H12      VSSA_13    1
                    U7                  H5       VSS_19     1
                    U7                  H6       VSS_20     1
                    U7                  H7       VSS_21     1
                    U7                  H8       VSS_22     1
                    U7                  H9       VSS_23     1
                    U7                  J10      VSS_11     1
                    U7                  J13      VSSA_14    1
                    U7                  J5       VSS_24     1
                    U7                  J6       VSS_25     1
                    U7                  J7       VSS_26     1
                    U7                  J8       VSS_27     1
                    U7                  J9       VSS_28     1
                    U7                  K1       VSSA       1
                    U7                  K10      VSS_12     1
                    U7                  K11      VSS_13     1
                    U7                  K13      VSSA_15    1
                    U7                  K2       VSS_29     1
                    U7                  K5       VSS_30     1
                    U7                  K6       VSS_31     1
                    U7                  K7       VSS_32     1
                    U7                  K8       VSS_33     1
                    U7                  K9       VSS_34     1
                    U7                  L10      VSS_14     1
                    U7                  L11      VSS        1
                    U7                  L13      DN2_DPSTRP 1
                    U7                  L4       VSS_35     1
                    U7                  L5       VSS        1
                    U7                  L9       VSSA_2     1
                    U7                  M5       VSS_2      1
                    U7                  M7       VSSA_3     1
                    U7                  M9       VSSA_4     1
                    U7                  N4       DN3_DPSTRP 1
                    U7                  N5       VSSA_5     1
                    U7                  N6       VSSA_6     1
                    U7                  P1       RSVD_2     1
                    U7                  P10      VSSA       1
                    U7                  P8       VSSA_7     1
                    UART_BUF_0          P$2      GND        1
                    UART_BUF_1          P$2      GND        1
                    UART_BUF_2          P$2      GND        1
                    USBCON_1            4        4          1
                    USBCON_OTG          4        4          1
                    USB_AUDIO_CODEC     11       AGNDC      1
                    USB_AUDIO_CODEC     18       AGNDP      1
                    USB_AUDIO_CODEC     24       TEST0      1
                    USB_AUDIO_CODEC     26       DGND       1
                    USB_AUDIO_CODEC     4        DGNDU      1
                    USB_HUB             13       GND_3      1
                    USB_HUB             2        GND        1
                    USB_HUB             20       GND_4      1
                    USB_HUB             8        GND_2      1
                    VREG_1              P$1      GND        1
                    X1                  C3       C3         1
                    X3                  C3       C3         1

PMIC_ON_REQ         J3                  P$15     P$15       1

PMIC_STBY_REQ       J3                  P$9      P$9        1

POR_B               J2                  P$65     P$65       1
                    MSATA               22       S          1
                    RESET               4        S1         1
                    USB_HUB             26       RESET#     1

PWM1_OUT            J1                  P$68     P$68       1

PWM2_OUT            J1                  P$41     P$41       1
                    Q1                  1        G          1
                    RT3                 2        2          1

PWM3_OUT            J1                  P$55     P$55       1

PWM4_OUT            J1                  P$57     P$57       1

REFCLKN_1           PCIE1               11       S          1
                    RT14                2        2          1
                    RT16                1        1          1

REFCLKN_1_R         RT14                1        1          1
                    U7                  B9       DN1_REFCK_ON 1

REFCLKN_2           PCIE2               11       S          1
                    RT22                2        2          1
                    RT24                1        1          1

REFCLKN_2_R         RT22                1        1          1
                    U7                  J14      DN2_REFCKON 1

REFCLKN_3           RT18                2        2          1
                    RT20                1        1          1

REFCLKN_3_R         RT18                1        1          1
                    U7                  P6       DN3_REFCKON 1

REFCLKP_1           PCIE1               13       S          1
                    RT13                2        2          1
                    RT15                1        1          1

REFCLKP_1_R         RT13                1        1          1
                    U7                  A9       DN1_REFCK_OP 1

REFCLKP_2           PCIE2               13       S          1
                    RT21                2        2          1
                    RT23                1        1          1

REFCLKP_2_R         RT21                1        1          1
                    U7                  K14      DN2_REFCKOP 1

REFCLKP_3           RT17                2        2          1
                    RT19                1        1          1

REFCLKP_3_R         RT17                1        1          1
                    U7                  P5       DN3_REFCKOP 1

RXD0                GPIOA               9        9          1
                    R20                 2        2          1
                    UART_BUF_0          P$3      IN_A2      1

RXD1                GPIOA               11       11         1
                    R19                 2        2          1
                    UART_BUF_1          P$3      IN_A2      1

RXD2                GPIOA               13       13         1
                    R22                 2        2          1
                    UART_BUF_2          P$3      IN_A2      1

SATA_RXN            C46                 2        2          1
                    J1                  P$6      P$6        1

SATA_RXP            C45                 2        2          1
                    J1                  P$4      P$4        1

SATA_TXN            C47                 2        2          1
                    J1                  P$10     P$10       1

SATA_TXP            C48                 2        2          1
                    J1                  P$12     P$12       1

SD2_CD_B            J1                  P$50     P$50       1
                    MICRO_SD            CD1      CARD_DETECT 1
                    MICRO_SD            CD2      CARD_DETECT1 1

SD2_CLK             J1                  P$38     P$38       1
                    MICRO_SD            5        SCLK       1

SD2_CMD             J1                  P$40     P$40       1
                    MICRO_SD            3        DATA_IN    1

SD2_DATA0           J1                  P$42     P$42       1
                    MICRO_SD            7        DATA_OUT   1

SD2_DATA1           J1                  P$44     P$44       1
                    MICRO_SD            8        DAT1       1

SD2_DATA2           J1                  P$46     P$46       1
                    MICRO_SD            1        DAT2       1

SD2_DATA3           J1                  P$48     P$48       1
                    MICRO_SD            2        CS         1

SD2_VSELECT         J2                  P$73     P$73       1
                    RT1                 1        1          1
                    SD2_VSELECT         5        A          1

SD3_CLK             GPIOB               6        6          1
                    J1                  P$37     P$37       1

SD3_CMD             GPIOB               7        7          1
                    J1                  P$39     P$39       1

SD3_DATA0           J3                  P$24     P$24       1

SD3_DATA1           J3                  P$22     P$22       1

SD3_DATA2           J3                  P$20     P$20       1

SD3_DATA3           J3                  P$18     P$18       1

SD3_DATA4           J3                  P$8      P$8        1

SD3_DATA5           J3                  P$6      P$6        1

SD3_DATA6           J3                  P$4      P$4        1

SD3_DATA7           J3                  P$2      P$2        1

SD3_RST             J3                  P$26     P$26       1

SD3_VSELECT         J3                  P$28     P$28       1

SD4_CLK             J3                  P$32     P$32       1

SD4_CMD             J3                  P$34     P$34       1

SD4_DATA0           J3                  P$36     P$36       1

SD4_DATA3           J3                  P$38     P$38       1

SPDIF_IN            J3                  P$35     P$35       1

SPDIF_OUT           J2                  P$50     P$50       1

STEREO_OUT_L        C22                 2        2          1
                    HEADSET             4        4          1

STEREO_OUT_R        C21                 2        2          1
                    HEADSET             5        5          1

TAMPER              J3                  P$7      P$7        1

TMDS0+_C            HDMI                P$7      P$7        1
                    U$4                 P$10     P$10       1

TMDS0-_C            HDMI                P$9      P$9        1
                    U$4                 P$9      P$9        1

TMDS1+_C            HDMI                P$4      P$4        1
                    U$3                 P$7      P$7        1

TMDS1-_C            HDMI                P$6      P$6        1
                    U$3                 P$6      P$6        1

TMDS2+_C            HDMI                P$1      P$1        1
                    U$3                 P$10     P$10       1

TMDS2-_C            HDMI                P$3      P$3        1
                    U$3                 P$9      P$9        1

TMDSCLK+_C          HDMI                P$10     P$10       1
                    U$4                 P$7      P$7        1

TMDSCLK-_C          HDMI                P$12     P$12       1
                    U$4                 P$6      P$6        1

TXD0                GPIOA               8        8          1
                    UART_BUF_0          P$6      OUT_Y1     1

TXD1                GPIOA               10       10         1
                    UART_BUF_1          P$6      OUT_Y1     1

TXD2                GPIOA               12       12         1
                    UART_BUF_2          P$6      OUT_Y1     1

UART1_RX_DATA       J2                  P$54     P$54       1
                    UART_BUF_0          P$4      OUT_Y2     1

UART1_TX_DATA       J2                  P$52     P$52       1
                    UART_BUF_0          P$1      IN_A1      1

UART2_CTS_B         J3                  P$48     P$48       1

UART2_RTS_B         J3                  P$50     P$50       1

UART2_RX_DATA       J3                  P$44     P$44       1
                    UART_BUF_1          P$4      OUT_Y2     1

UART2_TX_DATA       J3                  P$46     P$46       1
                    UART_BUF_1          P$1      IN_A1      1

UART3_RX_DATA       J3                  P$31     P$31       1
                    UART_BUF_2          P$4      OUT_Y2     1

UART3_TX_DATA       J3                  P$29     P$29       1
                    UART_BUF_2          P$1      IN_A1      1

UIM_AUX1_1          X3                  C6       C6         1

UIM_AUX1_2          X1                  C6       C6         1

UIM_AUX2_1          X3                  C8       C8         1

UIM_AUX2_2          X1                  C8       C8         1

UIM_CLK_1           PCIE1               12       S          1
                    X3                  C2       C2         1

UIM_CLK_2           PCIE2               12       S          1
                    X1                  C2       C2         1

UIM_DATA_1          PCIE1               10       S          1
                    X3                  C4       C4         1

UIM_DATA_2          PCIE2               10       S          1
                    X1                  C4       C4         1

UIM_PWR_1           PCIE1               8        S          1
                    X3                  C1       C1         1

UIM_PWR_2           PCIE2               8        S          1
                    X1                  C1       C1         1

UIM_RST_1           PCIE1               14       S          1
                    X3                  C5       C5         1

UIM_RST_2           PCIE2               14       S          1
                    X1                  C5       C5         1

UIM_VPP_1           PCIE1               16       S          1
                    X3                  C7       C7         1

UIM_VPP_2           PCIE2               16       S          1
                    X1                  C7       C7         1

USB_H1_OC           J2                  P$69     P$69       1

USB_H1_PWR_EN       J1                  P$28     P$28       1
                    USB_CURR_LIM        4        ENB        1

USB_H1_VBUS         J1                  P$52     P$52       1
                    USBCON_1            1        1          1
                    USB_CURR_LIM        5        OUTB       1

USB_HOST_DN         J1                  P$24     P$24       1
                    USB_HUB             3        D-         1

USB_HOST_DP         J1                  P$22     P$22       1
                    USB_HUB             4        D+         1

USB_HUB_DN1         USBCON_1            2        2          1
                    USB_HUB             5        DD-[1]     1

USB_HUB_DN2         PCIE1               36       S          1
                    USB_HUB             9        DD-[2]     1

USB_HUB_DN3         PCIE2               36       S          1
                    USB_HUB             17       DD-[3]     1

USB_HUB_DN4         RT11                2        2          1
                    USB_HUB             21       DD-[4]     1

USB_HUB_DP1         USBCON_1            3        3          1
                    USB_HUB             6        DD+[1]     1

USB_HUB_DP2         PCIE1               38       S          1
                    USB_HUB             10       DD+[2]     1

USB_HUB_DP3         PCIE2               38       S          1
                    USB_HUB             18       DD+[3]     1

USB_HUB_DP4         RN1                 1        1          1
                    RT10                2        2          1
                    USB_HUB             22       DD+[4]     1

USB_OTG_CHD_B       J2                  P$71     P$71       1

USB_OTG_DN          J1                  P$18     P$18       1
                    USBCON_OTG          2        2          1

USB_OTG_DP          J1                  P$16     P$16       1
                    USBCON_OTG          3        3          1

USB_OTG_ID          GPIOB               5        5          1
                    J2                  P$56     P$56       1

USB_OTG_OC          J2                  P$67     P$67       1

USB_OTG_PWR_EN      J1                  P$30     P$30       1
                    USB_CURR_LIM        1        ENA        1

USB_OTG_VBUS        J1                  P$43     P$43       1
                    USBCON_OTG          1        1          1
                    USB_CURR_LIM        8        OUTA       1

VAUX33REF           R21                 1        1          1
                    U7                  E1       VAUX33_REF 1

VBAT                5VBOOST             8        VBAT       1
                    BATTERY_CHARGER     1        OUT_2      1
                    BATTERY_CHARGER     20       OUT        1
                    C5                  1        1          1
                    C7                  1        1          1
                    L1                  1        1          1
                    ON/OFF?             S        S          1
                    R9                  1        1          1

VCC                 USB_HUB             47       VCC        1

VDD15REF            C103                1        1          1
                    L8                  2        2          1
                    U7                  F3       VDD15_REF  1

VDD33REF            C85                 1        1          1
                    L11                 2        2          1
                    U7                  E2       VDD33_REF  1

VDDA15_0            C60                 1        1          1
                    C61                 1        1          1
                    C62                 1        1          1
                    C63                 1        1          1
                    L4                  2        2          1
                    U7                  G4       VDDA15_6   1
                    U7                  H2       VDDA15_7   1
                    U7                  H4       VDDA15_8   1
                    U7                  J4       VDDA15_9   1
                    U7                  K3       VDDA15_10  1

VDDA15_1            C70                 1        1          1
                    C71                 1        1          1
                    C72                 1        1          1
                    C73                 1        1          1
                    L5                  2        2          1
                    U7                  A7       VDDA15_2   1
                    U7                  D7       VDDA15_3   1
                    U7                  D8       VDDA15_4   1
                    U7                  D9       VDDA15_5   1

VDDA15_2            C80                 1        1          1
                    C81                 1        1          1
                    C82                 1        1          1
                    C83                 1        1          1
                    L6                  2        2          1
                    U7                  G11      VDDA15_4   1
                    U7                  G12      VDDA15_5   1
                    U7                  H11      VDDA15_6   1
                    U7                  J11      VDDA15_7   1
                    U7                  J12      VDDA15     1

VDDA15_3            C90                 1        1          1
                    C91                 1        1          1
                    C92                 1        1          1
                    C93                 1        1          1
                    L7                  2        2          1
                    U7                  L6       VDDA15_11  1
                    U7                  L7       VDDA15_12  1
                    U7                  L8       VDDA15     1
                    U7                  M6       VDDA15_2   1
                    U7                  M8       VDDA15_3   1

VDDA33F             C75                 1        1          1
                    L10                 2        2          1
                    U7                  J3       VDDA33     1

VDDCOMB15           C86                 1        1          1
                    C87                 1        1          1
                    C88                 1        1          1
                    U7                  C1       VDD_COMB15 1

VDDCOMB33           C76                 1        1          1
                    C77                 1        1          1
                    C78                 1        1          1
                    U7                  F4       VDD_COMB33 1

VDDCOMBIO           C66                 1        1          1
                    C67                 1        1          1
                    C68                 1        1          1
                    U7                  D3       VDD_COMBIO 1

VIN+5VBATT          BATTERY_CHARGER     17       CE         1
                    BATTERY_CHARGER     18       IN_2       1
                    BATTERY_CHARGER     19       IN         1
                    BATTERY_CHARGER     3        SEL        1
                    BATTERY_CHARGER     4        PROG2      1
                    BATTERY_CHARGER     9        *TE        1
                    C2                  +        +          1
                    C4                  1        1          1
                    D2                  C        C          1
                    LT1085              2        VOUT       1
                    R1                  2        2          1
                    R3                  1        1          1
                    R4                  1        1          1
                    R5                  1        1          1

V_1V5               C50                 +        +          1
                    MSATA               28       S          1
                    MSATA               48       S          1
                    MSATA               6        S          1
                    R17                 2        2          1
                    U$6                 2        VOUT       1

V_3V2_FLTR          C28                 +        +          1
                    C29                 +        +          1
                    C30                 +        +          1
                    C31                 1        1          1
                    C32                 1        1          1
                    L3                  2        2          1
                    USB_HUB             1        VCC_A      1
                    USB_HUB             12       VCC_A_3    1
                    USB_HUB             16       VCC_A_4    1
                    USB_HUB             19       VCC_A_5    1
                    USB_HUB             48       VREG       1
                    USB_HUB             7        VCC_A_2    1

V_SD                C20                 +        +          1
                    MICRO_SD            4        VDD        1
                    Q1                  3        D          1
                    RT4                 2        2          1

WDOG1_B             J3                  P$42     P$42       1

XIN                 C26                 +        +          1
                    Q2                  1        1          1
                    RT12                1        1          1
                    USB_AUDIO_CODEC     21       XTI        1
                    USB_HUB             14       XIN        1

XOUT                C27                 +        +          1
                    Q2                  3        2          1
                    RT12                2        2          1
                    USB_AUDIO_CODEC     20       XTO        1
                    USB_HUB             15       XOUT       1

